['1552697515538', '192.168.50.145', 'NA', 'NA', '0.355', '1.872', '-7.517', '-20.720', '2.467', '-9.021', '0.266', '0.065', '-0.410', '1028.63', 'NA']
['1552697515554', '192.168.50.145', '10.68', '10205FE010002BEB', '0.457', '1.517', '-6.970', '-19.626', '1.418', '-1.094', '0.264', '0.074', '-0.404', '1028.58', '-82']
['1552697515591', '192.168.50.145', '4.26', '10205FE010002C92', '0.457', '1.517', '-6.970', '-19.626', '1.418', '-1.094', '0.264', '0.074', '-0.404', '1028.58', '-81']
['1552697515613', '192.168.50.145', 'NA', 'NA', '0.457', '1.517', '-6.970', '-19.626', '1.418', '-1.094', '0.264', '0.074', '-0.404', '1028.58', 'NA']
['1552697515640', '192.168.50.145', '33.68', '10205FE010002A85', '1.056', '1.908', '-7.707', '-18.743', '7.140', '-1.995', '0.274', '0.081', '-0.397', '1028.60', '-93']
['1552697515662', '192.168.50.145', 'NA', 'NA', '1.056', '1.908', '-7.707', '-18.743', '7.140', '-1.995', '0.274', '0.081', '-0.397', '1028.60', 'NA']
['1552697515683', '192.168.50.145', 'NA', 'NA', '1.206', '2.368', '-9.683', '-1.444', '-2.704', '2.030', '0.271', '0.084', '-0.395', '1028.62', 'NA']
['1552697515710', '192.168.50.145', '10.79', '10205FE010002BEB', '1.206', '2.368', '-9.683', '-1.444', '-2.704', '2.030', '0.271', '0.084', '-0.395', '1028.62', '-82']
['1552697515734', '192.168.50.145', 'NA', 'NA', '0.556', '2.199', '-11.806', '4.401', '0.228', '7.892', '0.272', '0.079', '-0.395', '1028.55', 'NA']
['1552697515775', '192.168.50.145', '15.29', '10205FE0100031F3', '0.556', '2.199', '-11.806', '4.401', '0.228', '7.892', '0.272', '0.079', '-0.395', '1028.55', '-92']
['1552697515797', '192.168.50.145', 'NA', 'NA', '0.556', '2.199', '-11.806', '4.401', '0.228', '7.892', '0.272', '0.079', '-0.395', '1028.55', 'NA']
['1552697515824', '192.168.50.145', '34.80', '10205FE010002A7B', '1.050', '1.046', '-13.066', '-2.966', '0.385', '16.380', '0.279', '0.078', '-0.399', '1028.54', '-84']
['1552697515846', '192.168.50.145', 'NA', 'NA', '1.050', '1.046', '-13.066', '-2.966', '0.385', '16.380', '0.279', '0.078', '-0.399', '1028.54', 'NA']
['1552697515867', '192.168.50.145', 'NA', 'NA', '1.050', '1.046', '-13.066', '-2.966', '0.385', '16.380', '0.279', '0.078', '-0.399', '1028.54', 'NA']
['1552697515895', '192.168.50.145', '4.99', '10205FE010002C92', '0.604', '1.624', '-10.944', '9.328', '22.452', '11.576', '0.284', '0.070', '-0.390', '1028.59', '-82']
['1552697515910', '192.168.50.145', '15.11', '10205FE0100031F3', '0.604', '1.624', '-10.944', '9.328', '22.452', '11.576', '0.284', '0.070', '-0.390', '1028.59', '-90']
['1552697515925', '192.168.50.145', '33.23', '10205FE010002A85', '0.604', '1.624', '-10.944', '9.328', '22.452', '11.576', '0.284', '0.070', '-0.390', '1028.59', '-93']
['1552697515952', '192.168.50.145', '34.69', '10205FE010002A7B', '1.254', '0.507', '-10.108', '18.104', '-5.749', '1.242', '0.285', '0.056', '-0.398', '1028.63', '-84']
['1552697515974', '192.168.50.145', 'NA', 'NA', '1.254', '0.507', '-10.108', '18.104', '-5.749', '1.242', '0.285', '0.056', '-0.398', '1028.63', 'NA']
['1552697515989', '192.168.50.145', '10.86', '10205FE010002BEB', '1.254', '0.507', '-10.108', '18.104', '-5.749', '1.242', '0.285', '0.056', '-0.398', '1028.63', '-82']
['1552697516017', '192.168.50.145', '4.76', '10205FE010002C92', '0.635', '0.781', '-8.437', '0.298', '2.336', '10.894', '0.290', '0.051', '-0.393', '1028.54', '-81']
['1552697516032', '192.168.50.145', '14.93', '10205FE0100031F3', '0.635', '0.781', '-8.437', '0.298', '2.336', '10.894', '0.290', '0.051', '-0.393', '1028.54', '-89']
['1552697516047', '192.168.50.145', '33.22', '10205FE010002A85', '0.635', '0.781', '-8.437', '0.298', '2.336', '10.894', '0.290', '0.051', '-0.393', '1028.54', '-93']
['1552697516084', '192.168.50.145', 'NA', 'NA', '1.395', '1.746', '-6.895', '-10.929', '-15.356', '-11.839', '0.281', '0.056', '-0.395', '1028.61', 'NA']
['1552697516106', '192.168.50.145', 'NA', 'NA', '1.395', '1.746', '-6.895', '-10.929', '-15.356', '-11.839', '0.281', '0.056', '-0.395', '1028.61', 'NA']
['1552697516148', '192.168.50.145', 'NA', 'NA', '0.733', '2.390', '-7.084', '-10.220', '6.843', '-0.236', '0.284', '0.061', '-0.392', '1028.65', 'NA']
['1552697516163', '192.168.50.145', '5.00', '10205FE010002C92', '0.733', '2.390', '-7.084', '-10.220', '6.843', '-0.236', '0.284', '0.061', '-0.392', '1028.65', '-83']
['1552697516197', '192.168.50.145', 'NA', 'NA', '1.445', '1.552', '-10.035', '-20.562', '-0.079', '-7.709', '0.284', '0.067', '-0.393', '1028.59', 'NA']
['1552697516212', '192.168.50.145', '32.88', '10205FE010002A85', '1.445', '1.552', '-10.035', '-20.562', '-0.079', '-7.709', '0.284', '0.067', '-0.393', '1028.59', '-95']
['1552697516227', '192.168.50.145', '34.32', '10205FE010002A7B', '1.445', '1.552', '-10.035', '-20.562', '-0.079', '-7.709', '0.284', '0.067', '-0.393', '1028.59', '-84']
['1552697516261', '192.168.50.145', 'NA', 'NA', '1.563', '3.071', '-10.418', '8.592', '11.323', '-20.615', '0.290', '0.071', '-0.382', '1028.54', 'NA']
['1552697516283', '192.168.50.145', 'NA', 'NA', '1.563', '3.071', '-10.418', '8.592', '11.323', '-20.615', '0.290', '0.071', '-0.382', '1028.54', 'NA']
