['1552699255112', '192.168.50.145', 'NA', 'NA', '0.713', '-0.994', '-10.050', '-3.334', '-2.450', '-1.295', '-0.243', '0.487', '-0.891', '1028.40', 'NA']
['1552699255146', '192.168.50.145', 'NA', 'NA', '0.768', '-1.208', '-9.957', '-2.678', '-2.056', '-1.409', '-0.240', '0.489', '-0.893', '1028.37', 'NA']
['1552699255168', '192.168.50.145', 'NA', 'NA', '0.768', '-1.208', '-9.957', '-2.678', '-2.056', '-1.409', '-0.240', '0.489', '-0.893', '1028.37', 'NA']
['1552699255202', '192.168.50.145', 'NA', 'NA', '0.725', '-1.218', '-10.006', '-3.150', '-2.293', '-1.444', '-0.240', '0.486', '-0.901', '1028.37', 'NA']
['1552699255225', '192.168.50.145', 'NA', 'NA', '0.725', '-1.218', '-10.006', '-3.150', '-2.293', '-1.444', '-0.240', '0.486', '-0.901', '1028.37', 'NA']
['1552699255259', '192.168.50.145', 'NA', 'NA', '0.713', '-1.005', '-10.086', '-2.870', '-1.190', '-1.356', '-0.251', '0.487', '-0.893', '1028.42', 'NA']
['1552699255281', '192.168.50.145', 'NA', 'NA', '0.713', '-1.005', '-10.086', '-2.870', '-1.190', '-1.356', '-0.251', '0.487', '-0.893', '1028.42', 'NA']
['1552699255309', '192.168.50.145', '25.02', '10205FE010002C95', '0.713', '-1.005', '-10.086', '-2.870', '-1.190', '-1.356', '-0.251', '0.487', '-0.893', '1028.42', '-97']
['1552699255331', '192.168.50.145', 'NA', 'NA', '0.718', '-1.207', '-10.040', '-3.168', '-1.610', '-1.365', '-0.243', '0.487', '-0.893', '1028.37', 'NA']
['1552699255364', '192.168.50.145', 'NA', 'NA', '0.718', '-1.207', '-10.040', '-3.168', '-1.610', '-1.365', '-0.243', '0.487', '-0.893', '1028.37', 'NA']
['1552699255386', '192.168.50.145', 'NA', 'NA', '0.782', '-0.979', '-10.069', '-3.203', '-1.067', '-1.173', '-0.240', '0.487', '-0.893', '1028.37', 'NA']
['1552699255422', '192.168.50.145', 'NA', 'NA', '0.782', '-0.979', '-10.069', '-3.203', '-1.067', '-1.173', '-0.240', '0.487', '-0.893', '1028.37', 'NA']
['1552699255444', '192.168.50.145', 'NA', 'NA', '0.737', '-1.183', '-10.009', '-3.255', '-1.925', '-1.199', '-0.241', '0.488', '-0.892', '1028.36', 'NA']
['1552699255472', '192.168.50.145', '25.08', '10205FE010002C95', '0.737', '-1.183', '-10.009', '-3.255', '-1.925', '-1.199', '-0.241', '0.488', '-0.892', '1028.36', '-98']
['1552699255494', '192.168.50.145', 'NA', 'NA', '0.737', '-1.183', '-10.009', '-3.255', '-1.925', '-1.199', '-0.241', '0.488', '-0.892', '1028.36', 'NA']
['1552699255527', '192.168.50.145', 'NA', 'NA', '0.828', '-1.003', '-10.040', '-2.975', '-2.494', '-1.190', '-0.242', '0.484', '-0.895', '1028.34', 'NA']
['1552699255549', '192.168.50.145', 'NA', 'NA', '0.828', '-1.003', '-10.040', '-2.975', '-2.494', '-1.190', '-0.242', '0.484', '-0.895', '1028.34', 'NA']
['1552699255583', '192.168.50.145', 'NA', 'NA', '0.823', '-0.971', '-9.978', '-2.537', '-1.706', '-1.146', '-0.239', '0.486', '-0.892', '1028.38', 'NA']
['1552699255605', '192.168.50.145', 'NA', 'NA', '0.823', '-0.971', '-9.978', '-2.537', '-1.706', '-1.146', '-0.239', '0.486', '-0.892', '1028.38', 'NA']
['1552699255638', '192.168.50.145', 'NA', 'NA', '0.701', '-1.135', '-9.960', '-2.922', '-2.616', '-1.234', '-0.241', '0.489', '-0.893', '1028.39', 'NA']
['1552699255660', '192.168.50.145', 'NA', 'NA', '0.701', '-1.135', '-9.960', '-2.922', '-2.616', '-1.234', '-0.241', '0.489', '-0.893', '1028.39', 'NA']
['1552699255694', '192.168.50.145', 'NA', 'NA', '0.841', '-0.958', '-9.945', '-3.054', '-0.928', '-1.347', '-0.240', '0.488', '-0.898', '1028.34', 'NA']
['1552699255716', '192.168.50.145', 'NA', 'NA', '0.841', '-0.958', '-9.945', '-3.054', '-0.928', '-1.347', '-0.240', '0.488', '-0.898', '1028.34', 'NA']
['1552699255749', '192.168.50.145', 'NA', 'NA', '0.726', '-1.189', '-9.955', '-3.089', '-1.523', '-1.304', '-0.241', '0.484', '-0.895', '1028.36', 'NA']
['1552699255771', '192.168.50.145', 'NA', 'NA', '0.726', '-1.189', '-9.955', '-3.089', '-1.523', '-1.304', '-0.241', '0.484', '-0.895', '1028.36', 'NA']
['1552699255804', '192.168.50.145', 'NA', 'NA', '0.726', '-1.189', '-9.955', '-3.089', '-1.523', '-1.304', '-0.241', '0.484', '-0.895', '1028.36', 'NA']
['1552699255825', '192.168.50.145', 'NA', 'NA', '0.822', '-0.991', '-9.958', '-3.290', '-1.768', '-1.391', '-0.247', '0.485', '-0.900', '1028.31', 'NA']
['1552699255859', '192.168.50.145', 'NA', 'NA', '0.822', '-0.991', '-9.958', '-3.290', '-1.768', '-1.391', '-0.247', '0.485', '-0.900', '1028.31', 'NA']
['1552699255881', '192.168.50.145', 'NA', 'NA', '0.650', '-1.163', '-9.931', '-2.555', '-2.223', '-1.102', '-0.248', '0.485', '-0.901', '1028.32', 'NA']
['1552699255915', '192.168.50.145', 'NA', 'NA', '0.650', '-1.163', '-9.931', '-2.555', '-2.223', '-1.102', '-0.248', '0.485', '-0.901', '1028.32', 'NA']
['1552699255936', '192.168.50.145', 'NA', 'NA', '0.681', '-1.156', '-9.907', '-2.949', '-2.415', '-1.286', '-0.244', '0.483', '-0.898', '1028.33', 'NA']
